mem: 140676402516431, val: 0
mem: 140676402516430, val: 0
mem: 140676402516429, val: 0
mem: 140676402516428, val: 0
mem: 140676402516427, val: 0
mem: 140676402516426, val: 0
mem: 140676402516425, val: 0
mem: 140676402516424, val: 0
mem: 140676402516423, val: 0
mem: 140676402516422, val: 0
mem: 140676402516421, val: 0
mem: 140676402516420, val: 0
mem: 140676402516419, val: 0
mem: 140676402516418, val: 0
mem: 140676402516417, val: 0
mem: 140676402516416, val: 0
mem: 140676402516415, val: 0
mem: 140676402516414, val: 0
mem: 140676402516413, val: 0
mem: 140676402516412, val: 0
mem: 140676402516411, val: 0
mem: 140676402516410, val: 0
mem: 140676402516409, val: 0
mem: 140676402516408, val: 0
mem: 140676402516407, val: 0
mem: 140676402516406, val: 0
mem: 140676402516405, val: 0
mem: 140676402516404, val: 0
mem: 140676402516403, val: 0
mem: 140676402516402, val: 0
mem: 140676402516401, val: 0
mem: 140676402516400, val: 0
mem: 140676402516399, val: 0
mem: 140676402516398, val: 0
mem: 140676402516397, val: 0
mem: 140676402516396, val: 0
mem: 140676402516395, val: 0
mem: 140676402516394, val: 0
mem: 140676402516393, val: 0
mem: 140676402516392, val: 0
mem: 140676402516391, val: 0
mem: 140676402516390, val: 0
mem: 140676402516389, val: 0
mem: 140676402516388, val: 0
mem: 140676402516387, val: 0
mem: 140676402516386, val: 0
mem: 140676402516385, val: 0
mem: 140676402516384, val: 0
mem: 140676402516383, val: 0
mem: 140676402516382, val: 0
mem: 140676402516381, val: 0
mem: 140676402516380, val: 0
mem: 140676402516379, val: 0
mem: 140676402516378, val: 0
mem: 140676402516377, val: 0
mem: 140676402516376, val: 0
mem: 140676402516375, val: 0
mem: 140676402516374, val: 0
mem: 140676402516373, val: 0
mem: 140676402516372, val: 0
mem: 140676402516371, val: 0
mem: 140676402516370, val: 0
mem: 140676402516369, val: 0
mem: 140676402516368, val: 0
mem: 140676402516367, val: 0
mem: 140676402516366, val: 0
mem: 140676402516365, val: 0
mem: 140676402516364, val: 0
mem: 140676402516363, val: 0
mem: 140676402516362, val: 0
mem: 140676402516361, val: 0
mem: 140676402516360, val: 0
mem: 140676402516359, val: 0
mem: 140676402516358, val: 0
mem: 140676402516357, val: 0
mem: 140676402516356, val: 0
mem: 140676402516355, val: 0
mem: 140676402516354, val: 0
mem: 140676402516353, val: 0
mem: 140676402516352, val: 0
mem: 140676402516351, val: 0
mem: 140676402516350, val: 0
mem: 140676402516349, val: 0
mem: 140676402516348, val: 0
mem: 140676402516347, val: 0
mem: 140676402516346, val: 0
mem: 140676402516345, val: 0
mem: 140676402516344, val: 0
mem: 140676402516343, val: 0
mem: 140676402516342, val: 0
mem: 140676402516341, val: 0
mem: 140676402516340, val: 0
mem: 140676402516339, val: 0
mem: 140676402516338, val: 0
mem: 140676402516337, val: 0
mem: 140676402516336, val: 0
mem: 140676402516335, val: 0
mem: 140676402516334, val: 0
mem: 140676402516333, val: 0
mem: 140676402516332, val: 0
mem: 140676402516331, val: 0
mem: 140676402516330, val: 0
mem: 140676402516329, val: 0
mem: 140676402516328, val: 0
mem: 140676402516327, val: 0
mem: 140676402516326, val: 0
mem: 140676402516325, val: 0
mem: 140676402516324, val: 0
mem: 140676402516323, val: 0
mem: 140676402516322, val: 0
mem: 140676402516321, val: 0
mem: 140676402516320, val: 0
mem: 140676402516319, val: 0
mem: 140676402516318, val: 0
mem: 140676402516317, val: 0
mem: 140676402516316, val: 0
mem: 140676402516315, val: 0
mem: 140676402516314, val: 0
mem: 140676402516313, val: 0
mem: 140676402516312, val: 0
mem: 140676402516311, val: 0
mem: 140676402516310, val: 0
mem: 140676402516309, val: 0
mem: 140676402516308, val: 0
mem: 140676402516307, val: 0
mem: 140676402516306, val: 0
mem: 140676402516305, val: 0
mem: 140676402516304, val: 0
mem: 140676402516303, val: 0
mem: 140676402516302, val: 0
mem: 140676402516301, val: 0
mem: 140676402516300, val: 0
mem: 140676402516299, val: 0
mem: 140676402516298, val: 0
mem: 140676402516297, val: 0
mem: 140676402516296, val: 0
mem: 140676402516295, val: 0
mem: 140676402516294, val: 0
mem: 140676402516293, val: 0
mem: 140676402516292, val: 0
mem: 140676402516291, val: 0
mem: 140676402516290, val: 0
mem: 140676402516289, val: 0
mem: 140676402516288, val: 0
mem: 140676402516287, val: 0
mem: 140676402516286, val: 0
mem: 140676402516285, val: 0
mem: 140676402516284, val: 0
mem: 140676402516283, val: 0
mem: 140676402516282, val: 0
mem: 140676402516281, val: 0
mem: 140676402516280, val: 0
mem: 140676402516279, val: 0
mem: 140676402516278, val: 0
mem: 140676402516277, val: 0
mem: 140676402516276, val: 0
mem: 140676402516275, val: 0
mem: 140676402516274, val: 0
mem: 140676402516273, val: 0
mem: 140676402516272, val: 0
mem: 140676402516271, val: 0
mem: 140676402516270, val: 0
mem: 140676402516269, val: 0
mem: 140676402516268, val: 0
mem: 140676402516267, val: 0
mem: 140676402516266, val: 0
mem: 140676402516265, val: 0
mem: 140676402516264, val: 0
mem: 140676402516263, val: 0
mem: 140676402516262, val: 0
mem: 140676402516261, val: 0
mem: 140676402516260, val: 0
mem: 140676402516259, val: 0
mem: 140676402516258, val: 0
mem: 140676402516257, val: 0
mem: 140676402516256, val: 0
mem: 140676402516255, val: 0
mem: 140676402516254, val: 0
mem: 140676402516253, val: 0
mem: 140676402516252, val: 0
mem: 140676402516251, val: 0
mem: 140676402516250, val: 0
mem: 140676402516249, val: 0
mem: 140676402516248, val: 0
mem: 140676402516247, val: 0
mem: 140676402516246, val: 0
mem: 140676402516245, val: 0
mem: 140676402516244, val: 0
mem: 140676402516243, val: 0
mem: 140676402516242, val: 0
mem: 140676402516241, val: 0
mem: 140676402516240, val: 0
mem: 140676402516239, val: 0
mem: 140676402516238, val: 0
mem: 140676402516237, val: 0
mem: 140676402516236, val: 0
mem: 140676402516235, val: 0
mem: 140676402516234, val: 0
mem: 140676402516233, val: 0
mem: 140676402516232, val: 0
mem: 140676402516231, val: 0
mem: 140676402516230, val: 0
mem: 140676402516229, val: 0
mem: 140676402516228, val: 0
mem: 140676402516227, val: 0
mem: 140676402516226, val: 0
mem: 140676402516225, val: 0
mem: 140676402516224, val: 0
mem: 140676402516223, val: 0
mem: 140676402516222, val: 0
mem: 140676402516221, val: 0
mem: 140676402516220, val: 0
mem: 140676402516219, val: 0
mem: 140676402516218, val: 0
mem: 140676402516217, val: 0
mem: 140676402516216, val: 0
mem: 140676402516215, val: 0
mem: 140676402516214, val: 0
mem: 140676402516213, val: 0
mem: 140676402516212, val: 0
mem: 140676402516211, val: 0
mem: 140676402516210, val: 0
mem: 140676402516209, val: 0
mem: 140676402516208, val: 0
mem: 140676402516207, val: 0
mem: 140676402516206, val: 0
mem: 140676402516205, val: 0
mem: 140676402516204, val: 0
mem: 140676402516203, val: 0
mem: 140676402516202, val: 0
mem: 140676402516201, val: 0
mem: 140676402516200, val: 0
mem: 140676402516199, val: 0
mem: 140676402516198, val: 0
mem: 140676402516197, val: 0
mem: 140676402516196, val: 0
mem: 140676402516195, val: 0
mem: 140676402516194, val: 0
mem: 140676402516193, val: 0
mem: 140676402516192, val: 0
mem: 140676402516191, val: 0
mem: 140676402516190, val: 0
mem: 140676402516189, val: 0
mem: 140676402516188, val: 0
mem: 140676402516187, val: 0
mem: 140676402516186, val: 0
mem: 140676402516185, val: 0
mem: 140676402516184, val: 0
mem: 140676402516183, val: 0
mem: 140676402516182, val: 0
mem: 140676402516181, val: 0
mem: 140676402516180, val: 0
mem: 140676402516179, val: 0
mem: 140676402516178, val: 0
mem: 140676402516177, val: 0
mem: 140676402516176, val: 0
mem: 140676402516175, val: 0
mem: 140676402516174, val: 0
mem: 140676402516173, val: 0
mem: 140676402516172, val: 0
mem: 140676402516171, val: 0
mem: 140676402516170, val: 0
mem: 140676402516169, val: 0
mem: 140676402516168, val: 0
mem: 140676402516167, val: 0
mem: 140676402516166, val: 0
mem: 140676402516165, val: 0
mem: 140676402516164, val: 0
mem: 140676402516163, val: 0
mem: 140676402516162, val: 0
mem: 140676402516161, val: 0
mem: 140676402516160, val: 0
mem: 140676402516159, val: 0
mem: 140676402516158, val: 0
mem: 140676402516157, val: 0
mem: 140676402516156, val: 0
mem: 140676402516155, val: 0
mem: 140676402516154, val: 0
mem: 140676402516153, val: 0
mem: 140676402516152, val: 0
mem: 140676402516151, val: 0
mem: 140676402516150, val: 0
mem: 140676402516149, val: 0
mem: 140676402516148, val: 0
mem: 140676402516147, val: 0
mem: 140676402516146, val: 0
mem: 140676402516145, val: 0
mem: 140676402516144, val: 0
mem: 140676402516143, val: 0
mem: 140676402516142, val: 0
mem: 140676402516141, val: 0
mem: 140676402516140, val: 0
mem: 140676402516139, val: 0
mem: 140676402516138, val: 0
mem: 140676402516137, val: 0
mem: 140676402516136, val: 0
mem: 140676402516135, val: 0
mem: 140676402516134, val: 0
mem: 140676402516133, val: 0
mem: 140676402516132, val: 0
mem: 140676402516131, val: 0
mem: 140676402516130, val: 0
mem: 140676402516129, val: 0
mem: 140676402516128, val: 0
mem: 140676402516127, val: 0
mem: 140676402516126, val: 0
mem: 140676402516125, val: 0
mem: 140676402516124, val: 0
mem: 140676402516123, val: 0
mem: 140676402516122, val: 0
mem: 140676402516121, val: 0
mem: 140676402516120, val: 0
mem: 140676402516119, val: 0
mem: 140676402516118, val: 0
mem: 140676402516117, val: 0
mem: 140676402516116, val: 0
mem: 140676402516115, val: 0
mem: 140676402516114, val: 0
mem: 140676402516113, val: 0
mem: 140676402516112, val: 0
mem: 140676402516111, val: 0
mem: 140676402516110, val: 0
mem: 140676402516109, val: 0
mem: 140676402516108, val: 0
mem: 140676402516107, val: 0
mem: 140676402516106, val: 0
mem: 140676402516105, val: 0
mem: 140676402516104, val: 0
mem: 140676402516103, val: 0
mem: 140676402516102, val: 0
mem: 140676402516101, val: 0
mem: 140676402516100, val: 0
mem: 140676402516099, val: 0
mem: 140676402516098, val: 0
mem: 140676402516097, val: 0
mem: 140676402516096, val: 0
mem: 140676402516095, val: 0
mem: 140676402516094, val: 0
mem: 140676402516093, val: 0
mem: 140676402516092, val: 0
mem: 140676402516091, val: 0
mem: 140676402516090, val: 0
mem: 140676402516089, val: 0
mem: 140676402516088, val: 0
mem: 140676402516087, val: 0
mem: 140676402516086, val: 0
mem: 140676402516085, val: 0
mem: 140676402516084, val: 0
mem: 140676402516083, val: 0
mem: 140676402516082, val: 0
mem: 140676402516081, val: 0
mem: 140676402516080, val: 0
mem: 140676402516079, val: 0
mem: 140676402516078, val: 0
mem: 140676402516077, val: 0
mem: 140676402516076, val: 0
mem: 140676402516075, val: 0
mem: 140676402516074, val: 0
mem: 140676402516073, val: 0
mem: 140676402516072, val: 0
mem: 140676402516071, val: 0
mem: 140676402516070, val: 0
mem: 140676402516069, val: 0
mem: 140676402516068, val: 0
mem: 140676402516067, val: 0
mem: 140676402516066, val: 0
mem: 140676402516065, val: 0
mem: 140676402516064, val: 0
mem: 140676402516063, val: 0
mem: 140676402516062, val: 0
mem: 140676402516061, val: 0
mem: 140676402516060, val: 0
mem: 140676402516059, val: 0
